<NUMBER OF ZONES> 2											
<NUMBER OF NODES> 9											
<FIRST THRU NODE> 0											
<NUMBER OF LINKS> 18											
<END OF METADATA>											

~	tail node	head node	capacity (veh/h)	length (miles)	fftt(min)	B	Power	speed limit (mph)	toll (cents)	link type	
	1	5	12	0.86267	300	0.15	4	0	0	3	;
	1	6	18	0.86267	360	0.15	4	0	0	3	;
	2	5	35	0.86267	180	0.15	4	0	0	3	;
	2	6	35	0.86267	540	0.15	4	0	0	3	;
	5	6	20	0.86267	540	0.15	4	0	0	3	;
	5	7	11	0.86267	120	0.15	4	0	0	3	;
	5	9	26	0.86267	480	0.15	4	0	0	3	;
	6	5	11	0.86267	160	0.15	4	0	0	3	;
	6	8	33	0.86267	360	0.15	4	0	0	3	;
	6	9	32	0.86267	420	0.15	4	0	0	3	;
	7	3	25	0.86267	180	0.15	4	0	0	3	;
	7	4	24	0.86267	360	0.15	4	0	0	3	;
	7	8	19	0.86267	120	0.15	4	0	0	3	;
	8	3	39	0.86267	480	0.15	4	0	0	3	;
	8	4	43	0.86267	360	0.15	4	0	0	3	;
	8	7	36	0.86267	240	0.15	4	0	0	3	;
	9	7	26	0.86267	240	0.15	4	0	0	3	;
	9	8	30	0.86267	480	0.15	4	0	0	3	;
